	***Cannot bisect a graph with 0 vertices!
	***You are trying to partition a graph into too many parts!
	***Cannot bisect a graph with 0 vertices!
	***You are trying to partition a graph into too many parts!
Sec,Throughput,Graph Vertices,Graph Edges
486,3073,1250560,0
487,2978,1250560,0
488,3024,1250560,0
489,3036,1250560,0
490,3021,1250560,0
491,3058,1250560,0
492,3023,1250560,0
493,3000,1250560,0
494,2993,1250560,0
495,2971,1250560,0
496,3043,1250560,0
497,3049,1250560,0
498,3034,1250560,0
499,3068,1250560,0
500,3007,1250560,0
501,3089,1250560,0
502,2987,1250560,0
503,3036,1250560,0
504,3124,1250560,0
505,3064,1250560,0
506,3030,1250560,0
507,2943,1250560,0
508,3028,1250560,0
509,3067,1250560,0
510,3040,1250560,0
511,3037,1250560,0
512,3059,1250560,0
513,3045,1250560,0
514,3047,1250560,0
515,2968,1250560,0
516,3115,1250560,0
517,3054,1250560,0
518,2987,1250560,0
519,3055,1250560,0
520,3024,1250560,0
521,3017,1250560,0
522,3065,1250560,0
523,3151,1250560,0
524,3020,1250560,0
525,3016,1250560,0
526,3025,1250560,0
527,3026,1250560,0
528,2970,1250560,0
529,2976,1250560,0
530,2970,1250560,0
531,2987,1250560,0
532,3047,1250560,0
533,3004,1250560,0
534,3086,1250560,0
535,3058,1250560,0
536,2968,1250560,0
537,3108,1250560,0
538,2988,1250560,0
539,3033,1250560,0
540,3013,1250560,0
541,3004,1250560,0
542,3025,1250560,0
543,3028,1250560,0
544,3033,1250560,0
545,3048,1250560,0
546,2956,1250560,0
547,2989,1250560,0
548,3033,1250560,0
549,3115,1250560,0
550,2978,1250560,0
551,2992,1250560,0
552,3000,1250560,0
553,2971,1250560,0
554,3003,1250560,0
555,3048,1250560,0
556,3033,1250560,0
557,2973,1250560,0
558,2956,1250560,0
559,2992,1250560,0
560,3004,1250560,0
561,2953,1250560,0
562,3042,1250560,0
563,3065,1250560,0
564,3003,1250560,0
565,2929,1250560,0
566,3131,1250560,0
567,3009,1250560,0
568,2998,1250560,0
569,3019,1250560,0
570,3114,1250560,0
571,3028,1250560,0
572,2943,1250560,0
573,3002,1250560,0
574,2995,1250560,0
575,2969,1250560,0
576,3043,1250560,0
577,3005,1250560,0
578,3010,1250560,0
579,3016,1250560,0
580,3091,1250560,0
581,3035,1250560,0
582,2977,1250560,0
583,3013,1250560,0
584,2984,1250560,0
585,3023,1250560,0
586,2967,1250560,0
587,2909,1250560,0
588,2953,1250560,0
589,2921,1250560,0
590,2969,1250560,0
591,2996,1250560,0
592,3012,1250560,0
593,3121,1250560,0
594,2996,1250560,0
595,3021,1250560,0
596,2947,1250560,0
597,3044,1250560,0
598,3035,1250560,0
599,3080,1250560,0
600,2988,1250560,0
601,3056,1250560,0
602,2984,1250560,0
603,3088,1250560,0
604,3053,1250560,0
605,2942,1250560,0
606,3068,1250560,0
607,3005,1250560,0
608,3052,1250560,0
609,3085,1250560,0
610,3026,1250560,0
611,2978,1250560,0
612,3050,1250560,0
613,3109,1250560,0
614,3064,1250560,0
615,3053,1250560,0
616,3080,1250560,0
617,2994,1250560,0
618,3101,1250560,0
619,3017,1250560,0
620,2970,1250560,0
621,3060,1250560,0
622,3052,1250560,0
623,2990,1250560,0
624,3048,1250560,0
625,2993,1250560,0
626,2998,1250560,0
627,3061,1250560,0
628,2985,1250560,0
629,2982,1250560,0
630,2964,1250560,0
631,3116,1250560,0
632,2986,1250560,0
633,3029,1250560,0
634,3029,1250560,0
635,3060,1250560,0
636,2975,1250560,0
637,3105,1250560,0
638,3057,1250560,0
639,3003,1250560,0
640,2998,1250560,0
641,3101,1250560,0
642,3038,1250560,0
643,3035,1250560,0
644,3041,1250560,0
645,3053,1250560,0
646,3052,1250560,0
647,3032,1250560,0
648,3095,1250560,0
649,3007,1250560,0
650,2999,1250560,0
651,3070,1250560,0
652,3017,1250560,0
653,3027,1250560,0
654,3040,1250560,0
655,3049,1250560,0
656,3057,1250560,0
657,3044,1250560,0
658,3056,1250560,0
659,3012,1250560,0
660,2983,1250560,0
661,3078,1250560,0
662,2920,1250560,0
663,3051,1250560,0
664,3099,1250560,0
665,3119,1250560,0
666,2984,1250560,0
667,3008,1250560,0
668,3105,1250560,0
669,3002,1250560,0
670,2983,1250560,0
671,2992,1250560,0
672,3063,1250560,0
673,2999,1250560,0
674,2977,1250560,0
675,3112,1250560,0
676,3059,1250560,0
677,3078,1250560,0
678,3031,1250560,0
679,2948,1250560,0
680,3011,1250560,0
681,3006,1250560,0
682,3035,1250560,0
683,3101,1250560,0
684,2989,1250560,0
685,3037,1250560,0
686,3069,1250560,0
687,2996,1250560,0
688,2991,1250560,0
689,3090,1250560,0
690,3120,1250560,0
691,2982,1250560,0
692,3045,1250560,0
693,3020,1250560,0
694,3062,1250560,0
695,2951,1250560,0
696,2986,1250560,0
697,3019,1250560,0
698,3094,1250560,0
699,3062,1250560,0
700,3017,1250560,0
701,3014,1250560,0
702,3016,1250560,0
703,2955,1250560,0
704,3065,1250560,0
705,2975,1250560,0
706,3085,1250560,0
707,3072,1250560,0
708,3027,1250560,0
709,3074,1250560,0
710,3079,1250560,0
711,2993,1250560,0
712,3054,1250560,0
713,3020,1250560,0
714,2987,1250560,0
715,3017,1250560,0
716,3036,1250560,0
717,3042,1250560,0
718,2986,1250560,0
719,3052,1250560,0
720,2965,1250560,0
721,3029,1250560,0
722,3043,1250560,0
723,2938,1250560,0
724,2951,1250560,0
725,2997,1250560,0
726,2985,1250560,0
727,3020,1250560,0
728,3011,1250560,0
729,2987,1250560,0
730,3011,1250560,0
731,2991,1250560,0
732,2988,1250560,0
733,2985,1250560,0
734,3001,1250560,0
735,3047,1250560,0
736,3034,1250560,0
737,3066,1250560,0
738,3016,1250560,0
739,3051,1250560,0
740,3008,1250560,0
741,2991,1250560,0
742,2989,1250560,0
743,3020,1250560,0
744,3028,1250560,0
745,2993,1250560,0
746,3034,1250560,0
747,2997,1250560,0
748,3039,1250560,0
749,2949,1250560,0
750,2944,1250560,0
751,3033,1250560,0
752,3005,1250560,0
753,2987,1250560,0
754,3031,1250560,0
755,3048,1250560,0
756,3048,1250560,0
757,2983,1250560,0
758,2976,1250560,0
759,3036,1250560,0
760,3010,1250560,0
761,2994,1250560,0
762,2959,1250560,0
763,2858,1250560,0
764,2956,1250560,0
765,3002,1250560,0
766,2960,1250560,0
767,2979,1250560,0
768,2998,1250560,0
769,3018,1250560,0
770,3040,1250560,0
771,2992,1250560,0
772,3029,1250560,0
773,3006,1250560,0
774,2997,1250560,0
775,3077,1250560,0
776,3001,1250560,0
777,2980,1250560,0
778,2961,1250560,0
779,3035,1250560,0
780,2945,1250560,0
781,3062,1250560,0
782,3005,1250560,0
783,2996,1250560,0
784,3030,1250560,0
785,2986,1250560,0
786,3013,1250560,0
787,3007,1250560,0
788,2982,1250560,0
789,2984,1250560,0
790,2980,1250560,0
791,3067,1250560,0
792,2999,1250560,0
793,3068,1250560,0
794,2999,1250560,0
795,2954,1250560,0
796,3066,1250560,0
797,2917,1250560,0
798,3026,1250560,0
799,2953,1250560,0
800,2955,1250560,0
801,2996,1250560,0
802,2989,1250560,0
803,2914,1250560,0
804,3071,1250560,0
805,3059,1250560,0
806,3102,1250560,0
807,3095,1250560,0
808,3122,1250560,0
809,3099,1250560,0
810,3041,1250560,0
811,3024,1250560,0
812,3070,1250560,0
813,3066,1250560,0
814,3087,1250560,0
815,3051,1250560,0
816,3039,1250560,0
817,3026,1250560,0
818,3045,1250560,0
819,3074,1250560,0
820,3092,1250560,0
821,2992,1250560,0
822,2995,1250560,0
823,2958,1250560,0
824,3056,1250560,0
825,3014,1250560,0
826,3017,1250560,0
827,3060,1250560,0
828,3074,1250560,0
829,3053,1250560,0
830,3089,1250560,0
831,3073,1250560,0
832,3083,1250560,0
833,2997,1250560,0
834,3080,1250560,0
835,3019,1250560,0
836,3084,1250560,0
837,3045,1250560,0
838,3177,1250560,0
839,3009,1250560,0
840,3105,1250560,0
841,3077,1250560,0
842,3022,1250560,0
843,3009,1250560,0
844,3066,1250560,0
845,3111,1250560,0
846,3103,1250560,0
847,3028,1250560,0
848,2937,1250560,0
849,2968,1250560,0
850,2953,1250560,0
851,3066,1250560,0
852,3055,1250560,0
853,3010,1250560,0
854,3053,1250560,0
855,3025,1250560,0
856,2961,1250560,0
857,3034,1250560,0
858,3066,1250560,0
859,2987,1250560,0
860,3051,1250560,0
861,2927,1250560,0
862,3066,1250560,0
863,3024,1250560,0
864,3023,1250560,0
865,2954,1250560,0
866,3015,1250560,0
867,2988,1250560,0
868,3012,1250560,0
869,2988,1250560,0
870,2996,1250560,0
871,2983,1250560,0
872,2979,1250560,0
873,3116,1250560,0
874,2991,1250560,0
875,3030,1250560,0
876,2966,1250560,0
877,3009,1250560,0
878,3066,1250560,0
879,2992,1250560,0
880,3031,1250560,0
881,3014,1250560,0
882,2979,1250560,0
883,3006,1250560,0
884,2968,1250560,0
885,3010,1250560,0
886,3086,1250560,0
887,3085,1250560,0
888,3038,1250560,0
889,3085,1250560,0
890,3068,1250560,0
891,2984,1250560,0
892,3093,1250560,0
893,2983,1250560,0
894,2973,1250560,0
895,3008,1250560,0
896,3003,1250560,0
897,3081,1250560,0
898,3109,1250560,0
899,3054,1250560,0
900,3063,1250560,0
901,3094,1250560,0
902,3022,1250560,0
